Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review_Count,Average_Rating,Review URL,Google_Maps_URL,Latitude,Longitude,Website,Domain,Opening_hours,Featured_image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Sahara Star,"Chhatrapati Shivaji International, 70-C, Nehru Rd, Navpada, Airport Area, Vile Parle, Mumbai, Maharashtra 400047",Chhatrapati Shivaji International,"70-C, Nehru Rd",Restaurant,022 3989 5000,"022 3989 5000, +91 22 3989 5000",YES,2572,4.6,https://search.google.com/local/reviews?placeid=ChIJvUPcck3I5zsR5JpNAa9KUaQ&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11840327010835340004,19.095726,72.8536539,http://www.saharastar.com/,saharastar.com,,https://lh5.googleusercontent.com/p/AF1QipNdUYDgrvWPlNlfLbwCD4N_5Q8Z3CuaHNyBLglk=w130-h92-k-no,1.18E+19,ChIJvUPcck3I5zsR5JpNAa9KUaQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radisson Blu Mumbai International Airport,"Marol Maroshi Rd, near Metro Station Marol Naka, Bori Colony, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Marol Maroshi Rd,near Metro Station Marol Naka,Hotel,022 6634 1234,"022 6634 1234, +91 22 6634 1234",YES,5751,4.5,https://search.google.com/local/reviews?placeid=ChIJAXhZlWbJ5zsRloqgZBhCnYs&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10060269815150447254,19.1102222,72.8786221,https://www.radissonhotels.com/en-us/hotels/radisson-blu-mumbai-airport?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INMHBOMAIR,radissonhotels.com,,https://lh5.googleusercontent.com/p/AF1QipOrS68qmoagr4-xtyFOuplnNA4FHWR2Jksg02cP=w137-h92-k-no,1.01E+19,ChIJAXhZlWbJ5zsRloqgZBhCnYs,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilton Mumbai International Airport,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099",Chhatrapati Shivaji Maharaj Int'l Airport Rd,"Ashok Nagar, Andheri East",Hotel,022 6199 0000,"022 6199 0000, +91 22 6199 0000",YES,24653,4.6,https://search.google.com/local/reviews?placeid=ChIJxwRMSyLO5zsRudODuSKThb8&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13800598410497348537,19.1044496,72.8707395,https://www.hilton.com/en/hotels/bomaphi-hilton-mumbai-international-airport/?SEO_id=GMB-APAC-HI-BOMAPHI,hilton.com,,https://lh5.googleusercontent.com/p/AF1QipORIWnSX9fvx5zDm5YI5zAcoPql4MYL6PfhcHP4=w164-h92-k-no,1.38E+19,ChIJxwRMSyLO5zsRudODuSKThb8,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofitel Mumbai BKC,"C 57, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",C 57,"G Block BKC, Bandra Kurla Complex, Bandra East",Hotel,022 6117 5000,"022 6117 5000, +91 22 6117 5000",YES,37137,4.7,https://search.google.com/local/reviews?placeid=ChIJ____C9_I5zsR2230MdoS4xo&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1937412993049718235,19.0674785,72.8690412,http://sofitel.accor.com/hotels/6451?merchantid=seo-maps-IN-6451&sourceid=aw-cen&utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps&utm_term=Sofitel-Launch,sofitel.accor.com,,https://lh5.googleusercontent.com/p/AF1QipNaESczYg0tw8TkbNVwb4X0OK6kCdQa0p2Et3sq=w122-h92-k-no,1.94E+18,ChIJ____C9_I5zsR2230MdoS4xo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Pearl View Near US Embassy,"L G C 4 1/2, Lal Bahadur Shastri Marg, near Maharashtra Kanta, Kurla West, Indra Nagar, Mumbai, Maharashtra 400070","L G C 4 1/2, Lal Bahadur Shastri Marg",near Maharashtra Kanta,Hotel,093729 96480,"093729 96480, +91 93729 96480",YES,2520,3.6,https://search.google.com/local/reviews?placeid=ChIJHxcbEcTI5zsRl8HQwapvFZM&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10598500077273137559,19.0545527,72.868365,https://www.pearlview.in/,pearlview.in,,https://lh5.googleusercontent.com/p/AF1QipOUjfdNpcxpEZYyRYIbBAJLA0Yhj6HiflxaXMB_=w80-h106-k-no,1.06E+19,ChIJHxcbEcTI5zsRl8HQwapvFZM,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taj Lands End, Mumbai","B.J. Road, Bandstand Promenade, Bandra West, Mumbai, Maharashtra 400050",B.J. Road,Bandstand Promenade,Hotel,022 6668 1234,"022 6668 1234, +91 22 6668 1234",NO,34181,4.6,https://search.google.com/local/reviews?placeid=ChIJSRH78kXJ5zsRMTuWOSp0uqI&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=11725812304516102961,19.0439124,72.8192683,https://www.tajhotels.com/en-in/hotels/taj-lands-end-mumbai?utm_source=Google&utm_medium=Local&utm_campaign=Taj-Lands-End-Mumbai,tajhotels.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHLPNRqGE94Sa7TDB-GeY5pQIM8sAYHBASL7GGwFeBQsbYRGg4NuWVpXkM62bxfRjoYnWsaHw8nu20c5NMSwV3op57eVn02d4Xx-24hTdJM5RY8SxV0uYDxUH0-T82kgBTO6ZzTR5m4hQ4gahyhEOk7IyeQIFVxgmfnCmBcL6bD3CMXrvSFm9CK=w210-h92-k-no,1.17E+19,ChIJSRH78kXJ5zsRMTuWOSp0uqI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lalit Mumbai,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Navpada, Marol, Andheri East, Mumbai, Maharashtra 400059",Chhatrapati Shivaji Maharaj Int'l Airport Rd,"Navpada, Marol, Andheri East",Hotel,022 6699 2222,"022 6699 2222, +91 22 6699 2222",YES,27758,4.4,https://search.google.com/local/reviews?placeid=ChIJWYnyhWrI5zsRh1tnwbNIHis&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=3107000729813343111,19.1053238,72.8758792,http://www.thelalit.com/the-lalit-mumbai/,thelalit.com,,https://lh5.googleusercontent.com/p/AF1QipOXwEg-WCfquJcJoMKiyW40iEVemtD4upBFw6Ej=w150-h92-k-no,3.11E+18,ChIJWYnyhWrI5zsRh1tnwbNIHis,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW Marriott Mumbai Sahar,"Chhatrapati Shivaji International Airport, IA Project Rd, Navpada, Vile Parle East, Vile Parle, Andheri, Mumbai, Maharashtra 400099",Chhatrapati Shivaji International Airport,IA Project Rd,Hotel,022 6882 8888,"022 6882 8888, +91 22 6882 8888",YES,25119,4.6,https://search.google.com/local/reviews?placeid=ChIJmwZU_FvI5zsRM8YNWRMN3Qo&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=782796286981948979,19.1025072,72.8782482,https://www.marriott.com/en-us/hotels/bomsa-jw-marriott-mumbai-sahar/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,marriott.com,,https://lh5.googleusercontent.com/p/AF1QipOkiWXfkp2pKndemtbcIOrtG5kp-xGinYnVgZ15=w138-h92-k-no,7.83E+17,ChIJmwZU_FvI5zsRM8YNWRMN3Qo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trident Hotel Bandra Kurla,"C 56, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098",C 56,"G Block BKC, Bandra Kurla Complex, Bandra East",Hotel,022 6672 7777,"022 6672 7777, +91 22 6672 7777",YES,28884,4.6,https://search.google.com/local/reviews?placeid=ChIJIagRS-nI5zsRGLstOKTvrHQ&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8407358092990069528,19.0666028,72.8674318,https://www.tridenthotels.com/hotels-in-mumbai-bandra-kurla?utm_source=GMBlisting&utm_medium=organic,tridenthotels.com,,https://lh5.googleusercontent.com/p/AF1QipNusF-3ko1j7BXdhn3nBJB4dJBDYt1e_7iuvmc4=w137-h92-k-no,8.41E+18,ChIJIagRS-nI5zsRGLstOKTvrHQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holiday Inn Mumbai International Airport, an IHG Hotel","Sakinaka, Junction, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra 400072",Sakinaka,"Junction, Andheri - Kurla Rd",Hotel,022 4085 1800,"022 4085 1800, +91 22 4085 1800",YES,28711,4.5,https://search.google.com/local/reviews?placeid=ChIJFciORWTI5zsRr4DUFDsqvQA&q=Mumbai+hotel&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=53245203839221935,19.102916,72.8871936,https://www.ihg.com/holidayinn/hotels/us/en/mumbai/bomap/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-IN-_-BOMAP,ihg.com,,https://lh5.googleusercontent.com/p/AF1QipO7b4mCgAi92O4KghVw9vilo6dZvRHJgdugLVsq=w80-h120-k-no,5.32E+16,ChIJFciORWTI5zsRr4DUFDsqvQA,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
